# wavelength(um) transit_depth error
5.00016829e+01 3.44479688e-04 1.00000000e-05
4.99983497e+01 3.43494650e-04 1.00000000e-05
4.99950167e+01 3.25870985e-04 1.00000000e-05
4.99916839e+01 3.35545592e-04 1.00000000e-05
4.99883514e+01 3.15299173e-04 1.00000000e-05
4.99850190e+01 3.14625382e-04 1.00000000e-05
4.99816869e+01 3.34266720e-04 1.00000000e-05
4.99783550e+01 3.46002222e-04 1.00000000e-05
4.99750234e+01 3.15547028e-04 1.00000000e-05
4.99716919e+01 3.24973123e-04 1.00000000e-05
4.99683607e+01 3.15038289e-04 1.00000000e-05
4.99650297e+01 3.20639287e-04 1.00000000e-05
4.99616989e+01 3.24329707e-04 1.00000000e-05
4.99583683e+01 3.02085949e-04 1.00000000e-05
4.99550380e+01 3.02685420e-04 1.00000000e-05
4.99517079e+01 3.13052864e-04 1.00000000e-05
4.99483780e+01 3.12171238e-04 1.00000000e-05
4.99450483e+01 3.32116544e-04 1.00000000e-05
4.99417189e+01 3.43404868e-04 1.00000000e-05
4.99383897e+01 3.24467800e-04 1.00000000e-05
4.99350607e+01 3.49806877e-04 1.00000000e-05
4.99317319e+01 3.24518721e-04 1.00000000e-05
4.99284033e+01 3.21172267e-04 1.00000000e-05
4.99250750e+01 3.18726163e-04 1.00000000e-05
4.99217469e+01 3.19697603e-04 1.00000000e-05
4.99184190e+01 3.31604690e-04 1.00000000e-05
4.99150913e+01 3.12866399e-04 1.00000000e-05
4.99117638e+01 3.36570271e-04 1.00000000e-05
4.99084366e+01 3.26247605e-04 1.00000000e-05
4.99051096e+01 3.22691194e-04 1.00000000e-05
4.99017828e+01 3.31740561e-04 1.00000000e-05
4.98984563e+01 3.53867927e-04 1.00000000e-05
4.98951299e+01 3.62252888e-04 1.00000000e-05
4.98918038e+01 3.28909981e-04 1.00000000e-05
4.98884779e+01 3.43724988e-04 1.00000000e-05
4.98851522e+01 3.14584624e-04 1.00000000e-05
4.98818268e+01 3.24586406e-04 1.00000000e-05
4.98785015e+01 3.02466414e-04 1.00000000e-05
4.98751765e+01 3.06594337e-04 1.00000000e-05
4.98718517e+01 3.22754662e-04 1.00000000e-05
4.98685272e+01 3.34321770e-04 1.00000000e-05
4.98652028e+01 3.41097311e-04 1.00000000e-05
4.98618787e+01 3.42701044e-04 1.00000000e-05
4.98585548e+01 3.19035767e-04 1.00000000e-05
4.98552311e+01 3.07939921e-04 1.00000000e-05
4.98519076e+01 3.12887758e-04 1.00000000e-05
4.98485844e+01 3.16374183e-04 1.00000000e-05
4.98452614e+01 3.33187913e-04 1.00000000e-05
4.98419386e+01 3.27287976e-04 1.00000000e-05
4.98386160e+01 3.33649834e-04 1.00000000e-05
4.98352937e+01 3.33191442e-04 1.00000000e-05
4.98319715e+01 3.22796552e-04 1.00000000e-05
4.98286496e+01 3.16497309e-04 1.00000000e-05
4.98253279e+01 3.40680919e-04 1.00000000e-05
4.98220065e+01 3.48477879e-04 1.00000000e-05
4.98186852e+01 3.48131740e-04 1.00000000e-05
4.98153642e+01 3.15484519e-04 1.00000000e-05
4.98120434e+01 3.33688825e-04 1.00000000e-05
4.98087228e+01 3.25371510e-04 1.00000000e-05
4.98054024e+01 3.28853096e-04 1.00000000e-05
4.98020823e+01 3.21820010e-04 1.00000000e-05
4.97987624e+01 3.15832411e-04 1.00000000e-05
4.97954427e+01 3.08226348e-04 1.00000000e-05
4.97921232e+01 3.07844083e-04 1.00000000e-05
4.97888040e+01 3.29244885e-04 1.00000000e-05
4.97854849e+01 3.39434784e-04 1.00000000e-05
4.97821661e+01 3.16739535e-04 1.00000000e-05
4.97788475e+01 3.27626362e-04 1.00000000e-05
4.97755292e+01 3.22729539e-04 1.00000000e-05
4.97722110e+01 3.09133459e-04 1.00000000e-05
4.97688931e+01 3.21527136e-04 1.00000000e-05
4.97655754e+01 3.39137199e-04 1.00000000e-05
4.97622579e+01 3.16681642e-04 1.00000000e-05
4.97589406e+01 3.33656131e-04 1.00000000e-05
4.97556236e+01 2.98854344e-04 1.00000000e-05
4.97523068e+01 3.29540552e-04 1.00000000e-05
4.97489902e+01 3.36481839e-04 1.00000000e-05
4.97456738e+01 3.23346069e-04 1.00000000e-05
4.97423576e+01 3.25922046e-04 1.00000000e-05
4.97390417e+01 3.00907932e-04 1.00000000e-05
4.97357260e+01 3.31192772e-04 1.00000000e-05
4.97324105e+01 3.31529700e-04 1.00000000e-05
4.97290952e+01 3.38063130e-04 1.00000000e-05
4.97257802e+01 3.12374693e-04 1.00000000e-05
4.97224653e+01 3.11218951e-04 1.00000000e-05
4.97191507e+01 3.17468838e-04 1.00000000e-05
4.97158363e+01 3.28806351e-04 1.00000000e-05
4.97125222e+01 3.26363028e-04 1.00000000e-05
4.97092082e+01 3.18769159e-04 1.00000000e-05
4.97058945e+01 3.24095675e-04 1.00000000e-05
4.97025810e+01 3.19604068e-04 1.00000000e-05
4.96992677e+01 3.29971547e-04 1.00000000e-05
4.96959546e+01 3.14752318e-04 1.00000000e-05
4.96926418e+01 3.24567753e-04 1.00000000e-05
4.96893292e+01 3.39130600e-04 1.00000000e-05
4.96860168e+01 3.11112887e-04 1.00000000e-05
4.96827046e+01 3.61235517e-04 1.00000000e-05
4.96793926e+01 3.33491927e-04 1.00000000e-05
4.96760809e+01 3.35315550e-04 1.00000000e-05
4.96727694e+01 3.22803166e-04 1.00000000e-05
4.96694581e+01 3.09907244e-04 1.00000000e-05
4.96661470e+01 3.19876607e-04 1.00000000e-05
4.96628362e+01 3.14561655e-04 1.00000000e-05
4.96595255e+01 3.19708918e-04 1.00000000e-05
4.96562151e+01 3.15646491e-04 1.00000000e-05
4.96529049e+01 3.22767556e-04 1.00000000e-05
4.96495949e+01 3.47819939e-04 1.00000000e-05
4.96462852e+01 3.20358989e-04 1.00000000e-05
4.96429757e+01 3.21152803e-04 1.00000000e-05
4.96396663e+01 3.23487604e-04 1.00000000e-05
4.96363573e+01 3.03689381e-04 1.00000000e-05
