# %ECSV 1.0
# ---
# datatype:
# - {name: Teff, datatype: float64}
# - {name: logg, datatype: float64}
# - {name: FeH, datatype: float64}
# - {name: profile, datatype: string}
# - {name: filter, datatype: string}
# - {name: wave_min, datatype: float16}
# - {name: wave_eff, datatype: float16}
# - {name: wave_max, datatype: float16}
# - {name: c1, datatype: float64}
# - {name: e1, datatype: float64}
# - {name: c2, datatype: float64}
# - {name: e2, datatype: float64}
# schema: astropy-2.0
Teff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 0.6846 0.7554 0.826 0.506 0.004 0.128 0.006
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 0.8354 0.9062 0.9766 0.413 0.006 0.148 0.008
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 0.9863 1.057 1.128 0.357 0.006 0.165 0.009
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 1.137 1.207 1.278 0.315 0.007 0.19 0.01
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 1.287 1.358 1.429 0.264 0.01 0.238 0.013
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 1.438 1.509 1.579 0.182 0.015 0.3 0.02
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 1.589 1.659 1.73 0.119 0.019 0.309 0.025
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 1.739 1.811 1.881 0.116 0.018 0.291 0.024
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 1.891 1.961 2.031 0.12 0.017 0.272 0.022
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 2.041 2.111 2.182 0.12 0.015 0.257 0.021
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 2.191 2.262 2.334 0.126 0.014 0.24 0.019
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 2.342 2.414 2.484 0.136 0.012 0.223 0.016
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 2.494 2.564 2.635 0.135 0.011 0.208 0.015
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 2.645 2.715 2.785 0.125 0.011 0.203 0.015
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 2.795 2.865 2.936 0.12 0.011 0.194 0.014
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 2.945 3.016 3.086 0.118 0.01 0.183 0.014
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 3.096 3.166 3.236 0.118 0.01 0.173 0.013
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 3.246 3.316 3.389 0.114 0.009 0.166 0.013
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 3.396 3.469 3.54 0.114 0.009 0.157 0.012
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 3.549 3.62 3.69 0.112 0.009 0.151 0.012
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 3.7 3.77 3.84 0.11 0.008 0.143 0.011
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 3.85 3.92 3.99 0.11 0.008 0.137 0.011
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 4.0 4.07 4.14 0.107 0.008 0.132 0.011
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 4.152 4.223 4.293 0.106 0.008 0.126 0.01
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 4.3 4.37 4.44 0.106 0.006 0.109 0.008
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 4.453 4.523 4.594 0.107 0.005 0.094 0.007
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 4.6 4.67 4.746 0.101 0.006 0.096 0.007
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 4.754 4.824 4.895 0.099 0.006 0.099 0.008
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 4.906 4.977 5.047 0.096 0.006 0.097 0.007
4750.0 4.5 0.0 quadratic NIRSpec.CLEAR.PRISM.S200A1 5.055 5.125 5.195 0.094 0.006 0.097 0.008
